time,Open,High,Low,Close,Volume
2022-11-21 16:00:00,149.96,150.1,148.44,149.64,5032
2022-11-21 17:00:00,149.65,149.94,147.77,148.05,6237
2022-11-21 18:00:00,148.04,148.72,147.74,148.06,5685
2022-11-21 19:00:00,148.06,148.34,147.69,147.96,5276
2022-11-21 20:00:00,147.94,149.01,147.9,148.48,4691
2022-11-21 21:00:00,148.49,148.74,148.21,148.38,4271
2022-11-21 22:00:00,148.38,148.57,147.87,148.07,5024
2022-11-22 16:00:00,148.32,148.52,146.91,147.5,4383
2022-11-22 17:00:00,147.49,148.81,147.39,148.7,7371
2022-11-22 18:00:00,148.69,148.96,148.36,148.84,5312
2022-11-22 19:00:00,148.84,149.5,148.83,149.18,3634
2022-11-22 20:00:00,149.17,150.02,149.04,149.96,3547
2022-11-22 21:00:00,149.95,150.03,149.44,149.77,2836
2022-11-22 22:00:00,149.77,150.33,149.73,150.3,3199
2022-11-23 16:00:00,149.52,151.4,149.39,151.03,4118
2022-11-23 17:00:00,151.05,151.78,150.63,151.57,5109
2022-11-23 18:00:00,151.58,151.74,149.78,150.08,4678
2022-11-23 19:00:00,150.08,150.41,149.33,149.62,4721
2022-11-23 20:00:00,149.63,150.44,149.51,150.28,3475
2022-11-23 21:00:00,150.28,151.28,149.74,150.97,6935
2022-11-23 22:00:00,150.97,151.4,150.61,150.98,5338
2022-11-25 16:00:00,148.07,148.71,147.1,148.63,4276
2022-11-25 17:00:00,148.62,148.85,147.94,148.14,3938
2022-11-25 18:00:00,148.13,148.37,147.59,148.28,3283
2022-11-25 19:00:00,148.27,148.39,147.79,148.07,2890
2022-11-25 20:00:00,148.07,148.07,148.07,148.07,1
2022-11-28 16:00:00,144.93,146.61,144.87,145.94,4656
2022-11-28 17:00:00,145.95,146.16,144.81,144.99,5834
2022-11-28 18:00:00,144.99,145.46,144.76,145.14,4020
2022-11-28 19:00:00,145.15,145.73,144.72,144.81,6070
2022-11-28 20:00:00,144.8,145.06,143.92,143.95,3535
2022-11-28 21:00:00,143.93,144.07,143.37,143.92,3481
2022-11-28 22:00:00,143.93,144.44,143.63,144.38,3198
2022-11-29 16:00:00,143.65,144.1,142.97,143.11,5011
2022-11-29 17:00:00,143.13,144.79,143.07,144.24,7246
2022-11-29 18:00:00,144.25,144.31,141.15,142.08,7451
2022-11-29 19:00:00,142.08,142.09,141.27,141.52,4840
2022-11-29 20:00:00,141.52,141.54,140.47,141.13,3823
2022-11-29 21:00:00,141.13,141.58,140.38,140.57,3782
2022-11-29 22:00:00,140.57,141.32,140.34,141.19,4207
2022-11-30 16:00:00,140.76,142.33,140.56,141.93,4051
2022-11-30 17:00:00,141.97,142.12,140.97,141.15,6129
2022-11-30 18:00:00,141.17,141.99,141.05,141.55,4761
2022-11-30 19:00:00,141.55,141.59,140.68,141.24,3930
2022-11-30 20:00:00,141.22,143.66,141.11,143.32,6136
2022-11-30 21:00:00,144.34,146.5,144.3,146.07,8380
2022-11-30 22:00:00,146.06,147.78,145.96,147.73,7299
2022-12-01 16:00:00,147.9,149.09,147.35,148.25,4150
2022-12-01 17:00:00,148.27,148.51,146.6,148.21,7599
2022-12-01 18:00:00,148.21,148.23,147.41,147.63,7100
2022-12-01 19:00:00,147.64,147.99,147.09,147.9,5915
2022-12-01 20:00:00,147.9,148.43,147.54,148.19,4803
2022-12-01 21:00:00,148.18,148.83,147.95,148.82,4063
2022-12-01 22:00:00,148.81,148.98,148.26,148.41,4417
2022-12-02 16:00:00,146.16,146.88,145.76,146.24,5655
2022-12-02 17:00:00,146.23,146.87,145.63,146.19,8388
2022-12-02 18:00:00,146.17,146.96,145.86,146.62,5956
2022-12-02 19:00:00,146.61,146.93,146.09,146.23,4232
2022-12-02 20:00:00,146.22,146.58,146.03,146.45,3550
2022-12-02 21:00:00,146.46,146.94,146.08,146.91,3140
2022-12-02 22:00:00,146.9,147.98,146.82,147.74,5643
2022-12-05 16:00:00,147.91,150.9,147.88,149.94,5174
2022-12-05 17:00:00,149.7,149.99,147.6,147.87,7901
2022-12-05 18:00:00,147.88,148.18,146.36,146.44,5415
2022-12-05 19:00:00,146.42,147.26,146.4,146.63,4830
2022-12-05 20:00:00,146.64,146.88,146.09,146.15,4147
2022-12-05 21:00:00,146.14,146.42,145.76,146.02,3852
2022-12-05 22:00:00,146.01,146.75,145.78,146.75,4942
2022-12-06 16:00:00,147.11,147.27,145.11,145.11,4787
